Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
Which of those have free wifi?|There are actually 18 different options to choose from. Is there a certain part of the city you'd like to stay in, or a particular price point?
Any price point is fine as long as it is 4 star and has free parking.|How about Allenbell?
Sure, Can I have a reference Number?|I need some more information first. What day will you be checking in on, and how many days will you be staying for? And how many people?
Actually, I change my mind. I will take care of the booking later. Thanks for your help. Goodbye.|Thank you contacting us, it was a pleasure to help. If you need any assistance feel free to contact us again, goodbye.
Hi, can you help me find a train on Monday, please?|Sure, where will you be departing from?
I'm departing from leicester.|There are many trains available on that day. At what time will you be traveling?
I will be leaving by 5:15.|what is your destination?
It should go to leicester|Did you mean departing from Leicester and going to Cambridge?  We do not have trains from Leicester to Leicester.
sorry, im going from cambridge to leicester|TR8631 will leave at 5:21 and arrive by 7:06. Would you like to make a reservation?
Yes, please make a booking for 3 people.|Booking was successful, the total fee is 113.4 GBP payable at the station .Reference number is : 60SBSNJP.
Thank you for your time and help, sorry for the confusion.  Have a great day !|have a great day too.
Have a nice day.|Thank you. You as well.
Can you suggest places to go in town centre? I'm interested in a college. Let me know the entrance fee and the phone number please.|I have the downing college located at regent street with free entrance fee.
Please get me their phone number|I have several available. How does Christ's college  on saint andrew's street with free entrance sound? Their phone number is 01223334900.
That is all.|Great. Glad I could be of help.
I'm looking for a train that arrives by 10:15 and departs from Ely|No problem! What day would you like to leave?
Tuesday, going to Cambridge please.|Any departure time in mind?
The train should leave on tuesday and should go to cambridge and arrive by 10:15|The TR8685 arrives by 5:52 and costs 4.40 pounds.  Can I book some seats for you?
Please for 8 people.|Your booking was successful. The total fee is 35.2 GBP pounds payable at the station and your reservation number is 1OBF5WF2
Great thank you I also am looking for some place to go in the centre of town.|The Broughton House Gallery is located at 98 King St and has free admission.
Thank you, that sounds fine. I see you have included the address and the entrance fee. That's all I need. Thanks very much.|You're welcome. Have a great day. Goodbye.
Are there any entertainment places in the east?|Yes! There are boats, museums, swimming pools, parks, sports, and more in the east. Do you have a preference?
No I don't have a preference.|Can I recommend camboats in the east?
Yes, that sounds like a great choice. Can you give me the phone number for them?|The phone number is 01223902112.
Great, thanks.  I am also looking for a train to Kings Lynn.  I can't leave till after 18:00 though.|Where will you be departing from?
From Cambridge.  I need to book for 7 people on that train.  I will also need the reference number.  Thanks a bunch!|What day did you want to travel on?
I would like to travel on Tuesday.|TR9452 leaves cambridge at 18:11 and arrives in kings lynn at 18:58. Will that work for you?
yes that's pretty good. Thanks!|You're welcome! Can I help you with anything else?
Yes, I need you to book that train for 7 please.|Booking was successful, the total fee is 68.6 GBP payable at the station.  Your reference number is : R5CBD0OD. Can I help with anything else today?
Great. You have been very helpful.  That is all I needed.  Thanks.  Bye.|Have a nice day, goodbye.
Can you find me a restaurant in the centre with moderate prices?|Yes there are 21 different places that match your description.
Surprise me.|How about cotto? It's a moderately priced british restaurant.
Yes please book a table for 7 people at 15:45 on monday|OK, you have a table for 7 at Cotto on Monday at 15:45. Your reference number is BNH1DKPW. Can I help with anything else today?
I am looking for a train to pick me up at Birmingham New Street and arrive in Cambridge before 12:00 on the day of my reservation.|I can book train TR6309 for you, leaving 8:40 and arriving at 11:23 in Cambridge. How many tickets do you need?
I will need 7 tickets. And can you please provide me with the reference number please?|i have booked you 7 tickets and the reference number is CGILQN2G. is there anything i can help you with?
Thank you. That is all for now.|Thank you for using our service. Have a wonderful day!
Yes. I'm looking for a train, please.|Of course. Where will you be departing from and arriving? When would you like to leave?
I need to leave from Cambridge on Sunday.|There are 202 trains leaving cambridge on sunday, do you have a destination or time?
Well, I'm thinking I need to leave sometime after 10:45 for Norwich.|There is a train leaving Cambridge for Norwich at 11:36 which arrives at 12:55. Shall I book it for you?
Yes, I'd like one ticket please.|Your booking was successful. The ticket fee is 14.08 pounds and is payable at the station. Your reference number is 23G7RUXL. May I assist you with anything else today?
Thank you very much.  I am all set.  Have a nice day.|You too.  Good bye.
I need a place to eat that serves sea food.|I have only one option that is in the expensive price range and in the center of town. It is called Loch Fyne. Would that interest you?
That works. Then I'd to book for seven people  at 11:00 on friday|Sounds Great! I will contact them about booking a reservation for seven people at 11:00 on Friday
Ok, could I get the reference number for that reservation please?|I'm very sorry there seems to be an error in our system.  There are no results for a seafood restaurant. Is there another type of cuisine you'd like?
