am looking for a place to to stay that has cheap price range it should be in a type of hotel|Okay, do you have a specific area you want to stay in?
Great, I'm also looking for something to do in that same area. What is available?|There are many attractions in the centre area, are you interested in architecture, museums, parks, nightclubs, swimming pools?
Just surprise me with something.|The all saints church is a terrific site for architecture buffs.  It's on Jesus Land and has free admission.
Can you tell me their postcode?|The post code is cb58bs. Can I help you with anything else today?
Yes, could you book a taxi for me?  I'd like to leave The Gonville Hotel by 24:00, going to All Saints Church.|Sure, I've booked a red honda for you. Its contact number is 07371414690.
Thank you, you have been very helpful. I think that is all I need.|You are welcome, enjoy the church. Goodbye.
I'm looking for a hotel called a and b quest house.|A and B Guesthouse is a moderately-priced, 4-star guesthouse at 124 Tenison Road, on the east side of town. Would you like a room there?
I need a room for 1 person, for 5 nights, beginning on Saturday. I will also need the reference number.|Booking was successful. Your reference number is : OBK1YKXC.  Can I help you with anything else today?
I'm also looking for a place to eat.|There are lots of fine eateries in the city - what type of food are you interested in? And are you looking for a particular price range?
I'd like to try crossover food at a moderately priced restaurant.|I don't have anything meeting that criteria. Can I look for something else?
How about one that serves Indian food?|The curry prince is in the east part of town. Would you like me to book a table for you?
Yes, please book it at 14:00 on Saturday for 1.|Booking was successful. The table will be reserved for 15 minutes. Reference number is : H2DF3481. Will there be anything else today?
No. I don't need anything else. Thank you and bye.|You are welcome, enjoy the stay at Cambridge.
Can you tell me about the city centre north b and b hotel?|It's a guesthouse in the north. It's cheap, and has free wifi and parking. Would you like a room?
Yes please.  We will be arriving on Sunday for 3 nights.  There are 7 of us.|Oh great. your booking was successful and your reference number is EBL4A5DL.
I'm also looking for a cheap place to eat in the centre area, what do you recommend?|There are many is there a type of food you'd prefer?
I would prefer portuguese food please.|Nandos City Centre is located at 33-34 Saint Andrews Street. Would you like me to make reservations for you?
Yeah I want a table for 7 people on sunday at 18:00|I cannot book it for you. Would you like any more information?
Is the 17:00 time slot available for 7?|I can book it for you at 17:00 but I need to know what day, I can do Monday for you.
Is there another restaurant in that area with portuguese food?|Sorry for the confusion, I booked the restaurant for you and the reference number is 6UDMBSI2. Anything else today?
I need a taxi. I want to be taken from the hotel to nandos city centre, arriving by 17:00. Please give me the car and contact information|Your all set! A blue volkswagon will be picking you up the contact number is 07525527431, is there anything else I can assist you with today?
Thanks for all of your help you've been great!|You are welcome enjoy !
I'm looking for information on a hotel called the lensfield hotel.|The Lensfield Hotel is a 3 star hotel in the south area.  It offers internet and parking. Contact them at 01223355017. Thank you and have a great day!
Ummm...can you book that for me? Or do I have to call the hotel myself?|I can definitely do that for you - when would you like to arrive?
I need to stay for 5 nights. We'll be arriving on Monday.|how long is your stay? I am only showing the lensfield hotel, it has 3 stars and free internet and parking
Lensfield sounds perfect.  I will need 5 nights please.|And how many people will be staying?
3 for 5 nights starting wednesday, and I need the reference # then too please|your all set reference # is N970M2RY. Something else I can help you with?
I need a cab by 12:30 too the contact # and car type will be most helpful|Is it Monday then? I want to make sure this is correct. (roles are reversed)
Yes it is Monday, sorry for any confusion|anything else I can assist you with today?
still need a cab by my booked time, 12:30 please|I need to know where you are traveling to
the hotel to the restaurant please|I am sorry we didn't reserve a table for you at any restaurant,  would you like to do that now?
yes, expensive french food for 3 people at 12:30 on monday|Sure, just need one more piece of info to complete your taxi booking. Which restaurant will the taxi be taking you to?
I need to make a reservation! An expensive french restaurant 3 people on monday at 12:30, I should have just called myself|I reserved a table at cote for you, ref # is ZLK6W3CY.
The roles are reversed- I need a cab now|I STILL NEED THAT CAB!
Thank you that is all I need|Thank you and enjoy your stay !
